"","District","GeographicalArea","HoldingArea","HoldingNumber","Household","Population","PopulationDensity","PopulationLandRatio"
"1","Achham ",1680,18488.6,44986,48351,257477,153,13.93
"2","Arghakhanchi ",1193,31597.3,43422,46835,197632,166,6.25
"3","Baglung ",1784,30686.6,51663,61522,268613,151,8.75
"4","Baitadi ",1519,21326.7,43544,45191,250898,165,11.76
"5","Bajhang ",3422,11812.2,32446,33786,195159,57,16.52
"6","Bajura ",2188,9413.1,22611,24908,134912,62,14.33
"7","Banke ",2337,44120.1,61433,94773,491313,210,11.14
"8","Bara ",1190,56866.7,81292,108635,687708,578,12.09
"9","Bardiya ",2025,47233.5,68063,83176,426576,211,9.03
"10","Bhaktapur ",119,5682.8,30631,68636,304651,2560,53.61
"11","Bhojpur ",1507,29775.8,36832,39419,182459,121,6.13
"12","Chitawan ",2218,40631.6,88242,132462,579984,261,14.27
"13","Dadeldhura ",1538,11616.8,24797,27045,142094,92,12.23
"14","Dailekh ",1502,21329.3,45079,48919,261770,174,12.27
"15","Dang ",2955,61951.5,86623,116415,552583,187,8.92
"16","Darchula ",2322,17378.5,22420,24618,133274,57,7.67
"17","Dhading ",1926,35398,64517,73851,336067,174,9.49
"18","Dhankuta ",891,25488.7,31382,37637,163412,183,6.41
"19","Dhanusa ",1180,72307.2,96006,138249,754777,640,10.44
"20","Dolakha ",2191,26844.6,40718,45688,186557,85,6.95
"21","Dolpa ",7889,3733.4,6696,7488,36700,5,9.83
"22","Doti ",2025,16382.5,36840,41440,211746,105,12.93
"23","Gorkha ",3610,31493.5,57671,66506,271061,75,8.61
"24","Gulmi ",1149,40910.4,57705,64921,280160,244,6.85
"25","Humla ",5655,5232.1,8306,9479,50858,9,9.72
"26","Ilam ",1703,53394.3,57950,64502,290254,170,5.44
"27","Jajarkot ",2230,16127.2,28546,30472,171304,77,10.62
"28","Jhapa ",1606,102442.6,120538,184552,812650,506,7.93
"29","Jumla ",2531,7010.9,17774,19303,108921,43,15.54
"30","Kailali ",3235,66658.5,111662,142480,775709,240,11.64
"31","Kalikot ",1741,14700.7,21528,23013,136948,79,9.32
"32","Kanchanpur ",1610,44352.9,70573,82152,451248,280,10.17
"33","Kapilbastu ",1738,64578,74770,91321,571936,329,8.86
"34","Kaski ",2017,23438.6,53268,125673,492098,244,21
"35","Kathmandu ",395,9595.6,51462,436344,1744240,4416,181.77
"36","Kavrepalanchok ",1396,39707.3,68872,80720,381937,274,9.62
"37","Khotang ",1591,31349.9,40358,42664,206312,130,6.58
"38","Lalitpur ",385,9300.3,33616,109797,468132,1216,50.33
"39","Lamjung ",1692,17265.8,33041,42079,167724,99,9.71
"40","Mahottari ",1002,64977.2,80844,111316,627580,626,9.66
"41","Makwanpur ",2426,31802.8,67111,86127,420477,173,13.22
"42","Manang ",2246,473.6,993,1480,6538,3,13.81
"43","Morang ",1855,109943,126891,213997,965370,520,8.78
"44","Mugu ",3535,6218.6,9174,9619,55286,16,8.89
"45","Mustang ",3573,1374.8,2420,3354,13452,4,9.78
"46","Myagdi ",2297,12358.5,22480,27762,113641,49,9.2
"47","Nawalparasi ",2162,56125.2,101337,128793,643508,298,11.47
"48","Nuwakot ",1121,32996.5,53984,59215,277471,248,8.41
"49","Okhaldhunga ",1074,28546.9,30451,32502,147984,138,5.18
"50","Palpa ",1373,29985.3,48830,59291,261180,190,8.71
"51","Panchthar ",1241,28725.5,36664,41196,191817,155,6.68
"52","Parbat ",494,12598.9,28644,35719,146590,297,11.64
"53","Parsa ",1353,48898.7,59496,95536,601017,444,12.29
"54","Pyuthan ",1309,25811.8,44423,47730,228102,174,8.84
"55","Ramechhap ",1546,30372.4,40888,43910,202646,131,6.67
"56","Rasuwa ",1544,4557.7,8504,9778,43300,28,9.5
"57","Rautahat ",1126,64834.9,79233,106668,686722,610,10.59
"58","Rolpa ",1879,24853.3,40284,43757,224506,119,9.03
"59","Rukum ",2877,21375.2,37759,41856,208567,72,9.76
"60","Rupandehi ",1360,71188,104174,163916,880196,647,12.36
"61","Salyan ",1462,26684.8,42840,46556,242444,166,9.09
"62","Sankhuwasabha ",3480,28955.6,29983,34624,158742,46,5.48
"63","Saptari ",1363,73907.7,89241,121098,639284,469,8.65
"64","Sarlahi ",1259,80678.4,98288,132844,769729,611,9.54
"65","Sindhuli ",2491,26626.3,51233,57581,296192,119,11.12
"66","Sindhupalchok ",2542,34781.5,58998,66688,287798,113,8.27
"67","Siraha ",1188,78797.5,88527,117962,637328,536,8.09
"68","Solukhumbu ",3312,19116.8,21478,23785,105886,32,5.54
"69","Sunsari ",1257,75141.3,86650,162407,763487,607,10.16
"70","Surkhet ",2451,27241.3,56571,72863,350804,143,12.88
"71","Syangja ",1164,29450.6,57613,68881,289148,248,9.82
"72","Tanahu ",1546,29022.3,59233,78309,323288,209,11.14
"73","Taplejung ",3646,22327.5,23444,26509,127461,35,5.71
"74","Tehrathum ",679,19102.2,19608,22094,101577,150,5.32
"75","Udayapur ",2063,28162.3,54919,66557,317532,154,11.28
